respuesta_id,fecha_respuesta,cliente_id,producto,segmento_cliente,nps_score,categoria_nps,comentario,canal_encuesta,tiempo_respuesta_dias,contacto_previo,resolucion_satisfactoria,recomendaria_servicio,region,edad_cliente,antiguedad_meses
NPS_000001,2025-08-19 12:12:36,CLI_41143,Empresarial,Premium,0,Detractor,"Servicio muy lento, muchas fallas",Email,6,True,True,False,Centro,49,81
NPS_000002,2025-08-25 12:12:36,CLI_43677,Telefonía Fija,VIP,6,Detractor,"Servicio muy lento, muchas fallas",Email,5,True,False,False,Oeste,53,10
NPS_000003,2025-07-14 12:12:36,CLI_21262,Móvil Prepago,VIP,3,Detractor,Precio muy alto para el servicio,App,6,True,False,False,Centro,37,115
NPS_000004,2025-08-19 12:12:36,CLI_18981,Empresarial,Regular,4,Detractor,"Servicio muy lento, muchas fallas",SMS,6,True,True,False,Sur,62,114
NPS_000005,2025-07-07 12:12:36,CLI_36093,Móvil Postpago,Premium,5,Detractor,Problemas técnicos constantes,Email,7,True,True,False,Norte,74,5
NPS_000006,2025-08-23 12:12:36,CLI_32547,Móvil Prepago,Regular,1,Detractor,"Servicio muy lento, muchas fallas",Email,0,False,True,False,Sur,48,38
NPS_000007,2025-06-25 12:12:36,CLI_45782,TV Cable,Premium,3,Detractor,Problemas técnicos constantes,App,0,False,True,False,Centro,54,4
NPS_000008,2025-07-24 12:12:36,CLI_10903,Empresarial,VIP,1,Detractor,Atención al cliente deficiente,Web,0,True,False,False,Centro,34,78
NPS_000009,2025-08-03 12:12:36,CLI_07424,TV Cable,VIP,8,Neutral,Funciona pero tiene algunos problemas,Email,6,False,False,True,Este,74,101
NPS_000010,2025-08-13 12:12:36,CLI_20010,Internet Hogar,VIP,10,Promotor,"Excelente servicio, muy satisfecho",App,1,True,True,True,Norte,55,100
NPS_000011,2025-07-16 12:12:36,CLI_48844,TV Cable,Premium,7,Neutral,"Servicio regular, podría mejorar",Email,4,False,False,True,Este,36,34
NPS_000012,2025-08-31 12:12:36,CLI_27216,Móvil Prepago,Regular,5,Detractor,"Servicio muy lento, muchas fallas",App,5,True,True,False,Sur,69,28
NPS_000013,2025-07-17 12:12:36,CLI_35056,Móvil Prepago,Premium,3,Detractor,Precio muy alto para el servicio,App,6,True,True,False,Norte,22,39
NPS_000014,2025-09-04 12:12:36,CLI_03797,Móvil Prepago,Premium,5,Detractor,Atención al cliente deficiente,SMS,7,False,True,False,Norte,32,100
NPS_000015,2025-08-03 12:12:36,CLI_44901,TV Cable,Regular,8,Neutral,Funciona pero tiene algunos problemas,App,1,False,False,True,Centro,69,9
NPS_000016,2025-08-03 12:12:36,CLI_49188,Móvil Postpago,VIP,2,Detractor,Problemas técnicos constantes,SMS,6,True,False,False,Oeste,70,84
NPS_000017,2025-06-22 12:12:36,CLI_13337,Móvil Prepago,Básico,8,Neutral,"Servicio regular, podría mejorar",Web,0,True,False,True,Centro,56,36
NPS_000018,2025-06-20 12:12:36,CLI_35604,Empresarial,Premium,7,Neutral,"Precio aceptable, servicio promedio",App,1,False,False,True,Este,65,45
NPS_000019,2025-08-05 12:12:36,CLI_01373,Móvil Postpago,Regular,4,Detractor,Atención al cliente deficiente,Web,3,True,False,False,Este,55,65
NPS_000020,2025-09-06 12:12:36,CLI_43155,Internet Hogar,VIP,9,Promotor,Personal muy profesional,App,5,False,True,True,Sur,31,98
NPS_000021,2025-07-26 12:12:36,CLI_31677,Móvil Postpago,Regular,9,Promotor,"Excelente servicio, muy satisfecho",Web,5,True,True,True,Este,47,86
NPS_000022,2025-08-30 12:12:36,CLI_17316,Móvil Postpago,Básico,6,Detractor,Precio muy alto para el servicio,SMS,7,True,False,False,Oeste,52,3
NPS_000023,2025-09-15 12:12:36,CLI_42255,Móvil Postpago,Premium,7,Neutral,"Precio aceptable, servicio promedio",Web,6,True,False,True,Sur,24,83
NPS_000024,2025-09-08 12:12:36,CLI_34238,Móvil Prepago,Premium,6,Detractor,"Servicio muy lento, muchas fallas",App,1,False,False,False,Norte,56,3
NPS_000025,2025-08-18 12:12:36,CLI_45701,TV Cable,Premium,1,Detractor,Precio muy alto para el servicio,Email,6,True,True,False,Oeste,43,77
